timestamp;tag;duration;nvidia_gpu_0
1688251574.801739;foo;77.35799717903137;1959353
1688251735.4770763;foo;79.97438979148865;1754029
1688251815.4534605;foo;80.94525361061096;3267069
1688251896.4027033;foo;79.43676137924194;2889112
1688251975.8424568;foo;77.98187398910522;2524566
1688252053.8293169;foo;77.76118850708008;1094475
1688294226.7527435;foo;95.10384130477905;1279714
1688294321.85858;foo;94.03270316123962;1258628
1688294415.897267;foo;95.69825267791748;1287079
1688294511.5975144;foo;95.25942587852478;1274932
1688294606.8649187;foo;94.95424127578735;1276758
1688683599.7209203;foo;78.04221200942993;2795929
1688683677.7651272;foo;78.95855808258057;2229096
1688683756.72967;foo;79.9007875919342;1421094
1688683836.631455;foo;78.50979161262512;1636614
1688683915.143241;foo;83.47797584533691;2399214
1688685279.9764242;foo;81.16791558265686;1188921
1688685369.1386163;foo;76.27702164649963;1116970
1688685735.691888;foo;79.70322275161743;1316549
1688685827.6613038;foo;87.33564925193787;2062593
1688685929.0419674;foo;79.95104336738586;1118284
1688686016.663001;foo;76.04370951652527;1055973
1688686677.790037;foo;72.5757896900177;1020477
1688686762.5596414;foo;75.57617592811584;1174149
1688736743.7242885;foo;79.46743488311768;1115601
1689282325.650011;foo;81.649653673172;1433687
